Pass-Simple pass-accurate,Pass-High pass-accurate,Pass-Head pass-accurate,Pass-Simple pass-not accurate,Duel-Air duel-accurate,Duel-Air duel-not accurate,Pass-High pass-not accurate,Pass-Head pass-not accurate,Duel-Ground loose ball duel-not accurate,Duel-Ground attacking duel-accurate,Free Kick-Free Kick-accurate,Pass-Cross-assist,Pass-Cross-accurate,Shot-Shot-accurate,Duel-Ground loose ball duel-accurate,Duel-Ground defending duel-accurate,Others on the ball-Clearance-not accurate,Duel-Ground defending duel-not accurate,Others on the ball-Touch-interception,Duel-Ground attacking duel-not accurate,Others on the ball-Acceleration-accurate,Shot-Shot-not accurate,Free Kick-Corner-accurate,Foul,Free Kick-Throw in-accurate,Free Kick-Throw in-not accurate,Others on the ball-Touch,Pass-Cross-not accurate,Pass-Smart pass-accurate,Pass-Cross-key pass,Pass-Smart pass-not accurate,Free Kick-Corner-not accurate,Others on the ball-Clearance-accurate,Others on the ball-Touch-missed ball,Pass-Simple pass-assist,Pass-Launch-accurate,Pass-Smart pass-key pass,Pass-Simple pass-key pass,Pass-Launch-not accurate,Free Kick-Free Kick-not accurate,Pass-Head pass-assist,Others on the ball-Touch-counter attack,Free Kick-Free kick cross-accurate,Foul-yellow card,Others on the ball-Touch-opportunity,Others on the ball-Touch-feint,Free Kick-Free kick shot-accurate,Pass-High pass-key pass,Free Kick-Free kick shot-not accurate,Pass-Smart pass-assist,Free Kick-Free kick cross-not accurate,Others on the ball-Clearance,Others on the ball-Acceleration-not accurate,Free Kick-Goal kick,Others on the ball-Touch-dangerous ball lost,Foul-red card,Foul-second yellow card,Pass-Head pass-key pass,Free Kick-Penalty,Free Kick-Penalty-not accurate,Pass-High pass-assist,Pass-Hand pass-accurate,w-dl
128,3,6,16,-14,15,-12,-8,16,-28,-1,0,0,-1,-16,22,1,7,-8,-1,6,-6,0,4,-3,2,-6,1,0,0,6,0,5,4,0,-2,0,0,10,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
-128,-3,-6,-16,14,-15,12,8,-16,28,1,0,0,1,16,-22,-1,-7,8,1,-6,6,2,-4,3,-2,6,-1,1,2,-6,1,-5,0,0,2,0,1,-10,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,-1
-59,-9,-2,13,7,-7,-10,5,-4,-15,0,0,3,-1,4,17,6,9,-8,-11,3,2,-1,-1,-5,1,-12,7,-1,0,-2,2,0,5,0,4,0,0,1,1,0,-1,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,-1
59,9,2,-13,-7,7,10,-5,4,15,0,0,-3,1,-4,-17,-6,-9,8,11,-3,-2,1,1,5,-1,12,-7,1,1,2,-2,2,-5,0,-4,0,0,-1,-1,0,1,2,0,3,0,1,0,0,0,-1,0,1,0,0,0,0,0,1,0,0,0,1
-573,-11,-3,-17,-4,4,2,0,-7,-33,-4,0,1,-4,8,12,32,22,15,-1,-3,-8,0,3,-10,5,-51,-19,-5,0,-9,0,-2,-1,0,-1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1
573,11,3,17,4,-4,-2,0,7,33,4,1,-1,4,-8,-12,-32,-22,-15,1,3,8,13,-3,10,0,51,19,5,0,9,6,2,1,0,1,0,3,-3,0,0,-1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1
-136,4,-11,2,-11,12,-4,0,6,-5,0,0,-1,2,-6,4,4,3,7,-2,7,-5,0,-6,2,-8,-27,-8,0,1,4,1,-1,-4,0,1,0,0,6,2,0,1,1,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
136,-4,11,-2,11,-12,4,0,-6,5,0,0,1,-2,6,-4,-4,-3,-7,2,-7,5,8,6,-2,8,27,8,2,-1,-4,-1,1,4,0,-1,0,0,-6,0,0,0,-1,1,-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1
-16,-6,5,7,30,-30,4,-2,-1,-3,-8,1,2,3,1,2,5,1,5,0,3,2,0,6,-9,-2,6,-2,2,1,1,1,1,0,1,2,1,0,2,2,0,0,-2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
16,6,-5,-7,-30,30,-4,2,1,3,8,0,-2,-3,-1,-2,-5,-1,-5,0,-3,-2,0,-6,9,2,-6,2,-2,-1,0,0,-1,3,0,-2,0,0,-2,0,0,0,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1
-442,-3,3,-6,-1,-3,-9,3,-4,13,2,0,0,-1,3,0,12,-9,9,-4,0,-15,-3,-3,-12,4,-21,-9,0,0,-3,-3,4,5,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
442,3,-3,6,1,3,9,-3,4,-13,-2,0,10,1,-3,0,-12,9,-9,4,0,15,3,3,12,0,21,9,5,3,3,3,-4,0,0,-4,0,0,-1,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
43,-9,2,12,-4,4,-7,3,1,7,3,0,-4,-1,-2,-11,5,-1,1,5,3,-3,2,0,-6,-4,-4,-6,2,0,4,0,1,-2,0,2,0,0,8,0,0,0,-2,-2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
-43,9,-2,-12,4,-4,7,-3,-1,-7,-3,0,4,1,2,11,-5,1,-1,-5,-3,3,-2,0,6,4,4,6,-2,2,-4,5,0,2,0,-2,1,1,-8,0,0,0,2,2,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,-1
565,3,9,18,-5,5,4,-3,8,2,3,0,4,5,-8,1,-13,-2,-10,-2,5,6,1,0,12,0,7,4,4,0,5,2,0,0,0,2,0,0,-3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
-565,-3,-9,-18,5,-5,-4,3,-8,-2,-3,0,-4,-5,8,-1,13,2,10,2,-5,-6,0,0,-12,2,-7,-4,0,0,-5,-2,0,3,0,-2,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1
603,-8,5,10,4,-4,-6,-2,-3,-15,-4,1,6,-1,3,-1,-9,9,9,7,0,-3,0,2,11,0,-8,11,0,0,-4,-1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
-603,8,-5,-10,-4,4,6,2,3,15,4,0,-6,1,-3,1,9,-9,-9,-7,0,3,0,-2,-11,2,8,-11,0,0,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
161,-7,-6,4,9,-9,4,-5,2,21,-6,1,-3,0,-2,-19,-1,-5,1,3,-4,2,-2,5,1,0,26,-2,3,-1,4,0,3,1,0,-3,0,0,-7,0,0,3,0,2,0,1,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1
-161,7,6,-4,-9,9,-4,5,-2,-21,6,0,3,0,2,19,1,5,-1,-3,4,-2,2,-5,-1,1,-26,2,-3,1,0,0,-3,-1,0,3,0,0,7,1,0,0,0,-2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,-1
213,4,-7,-2,11,-11,10,2,-5,49,7,0,6,-1,5,-8,-16,-42,-10,1,4,5,2,-8,9,-2,-6,12,4,2,2,1,0,-1,0,-1,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
-213,-4,7,2,-11,11,-10,-2,5,-49,-7,0,-6,1,-5,8,16,42,10,-1,-4,-5,-2,8,-9,2,6,-12,-4,0,-2,-1,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-81,7,9,-14,1,1,-5,-13,-2,-5,-3,1,-1,3,4,8,18,-1,6,-2,7,2,0,2,-6,-5,-2,-6,1,0,2,0,9,3,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1
81,-7,-9,14,-1,-1,5,13,2,5,3,0,1,-3,-4,-8,-18,1,-6,2,-7,-2,0,-2,6,5,2,6,-1,2,-2,0,0,-3,0,-1,0,1,-2,0,0,0,0,2,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,1,0,0,0,-1
50,8,4,-1,9,-12,0,-8,1,9,-3,0,1,2,-1,4,7,-17,-1,4,3,0,3,3,-9,0,15,4,-1,2,1,0,5,0,0,-4,0,1,-11,0,0,0,0,-1,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,0,-1
-50,-8,-4,1,-9,12,0,8,-1,-9,3,0,-1,-2,1,-4,-7,17,1,-4,-3,0,-3,-3,9,0,-15,-4,1,0,-1,0,0,0,0,4,0,-1,11,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1
308,9,-1,14,-22,21,-1,0,2,12,3,0,11,2,-2,-4,-10,-3,-7,-5,1,8,6,-2,19,0,22,7,-1,1,-3,-1,-4,3,0,5,0,0,5,0,0,-1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
-308,-9,1,-14,22,-21,1,0,-2,-12,-3,0,-11,-2,2,4,10,3,7,5,-1,-8,0,2,-19,6,-22,-7,1,0,3,1,4,0,0,0,0,0,-5,1,0,1,-1,-2,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,1,0,0,0,-1
-411,5,-8,-8,-4,4,-3,5,-6,-8,1,0,-4,-9,6,-8,4,12,18,4,-24,-5,0,-1,0,4,2,-19,-3,0,-5,-2,3,-1,0,4,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
411,-5,8,8,4,-4,3,-5,6,8,-1,0,4,9,-6,8,-4,-12,-18,-4,24,5,6,1,0,-4,-2,19,3,1,5,2,-3,1,1,0,1,2,-1,0,0,1,0,-2,0,1,1,0,1,2,2,0,3,0,0,0,0,0,0,0,0,0,1
-14,-16,1,-9,11,-8,-6,6,-7,-13,0,0,5,0,7,2,3,10,-2,1,0,-2,-2,1,4,-2,2,4,1,1,0,-2,2,2,0,4,0,0,1,1,0,3,-3,1,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,-1
14,16,-1,9,-11,8,6,-6,7,13,4,0,-5,0,-7,-2,-3,-10,2,-1,0,2,2,-1,-4,2,-2,-4,0,-1,0,2,-2,-2,0,-4,0,2,-1,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
76,-11,2,6,-3,3,-8,-2,-14,-5,4,0,-2,3,14,-7,-2,6,-5,6,-2,13,2,-3,3,0,11,-2,3,0,0,1,0,0,0,3,3,0,-3,1,0,1,1,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1
-76,11,-2,-6,3,-3,8,2,14,5,-4,0,2,-3,-14,7,2,-6,5,-6,2,-13,-2,3,-3,0,-11,2,-3,0,0,-1,3,2,0,0,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1
-87,6,5,-6,14,-14,4,-3,-1,-31,-14,1,0,-1,1,39,5,8,-2,-16,-6,3,-6,5,-6,5,-1,-4,-1,0,3,0,-1,-6,0,1,0,1,-7,-2,0,-1,1,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,-1
87,-6,-5,6,-14,14,-4,3,1,31,14,0,0,1,-1,-39,-5,-8,2,16,6,-3,6,-5,6,0,1,4,1,0,-3,1,1,6,0,-1,0,0,7,2,0,1,-1,-1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
-172,12,-1,-14,1,0,4,-4,1,12,-4,0,4,-5,-1,-13,0,-8,-3,9,-3,2,1,2,11,2,-28,8,-4,0,0,1,3,0,0,-1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,-1
172,-12,1,14,-1,0,-4,4,-1,-12,4,0,-4,5,1,13,0,8,3,-9,3,-2,-1,-2,-11,-2,28,-8,4,0,0,-1,-3,3,1,1,1,0,2,0,0,0,0,2,0,0,0,0,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,1
79,-2,-5,10,-9,9,-2,-5,-13,8,0,0,4,4,13,-11,-2,-2,-14,5,4,16,2,2,15,0,13,3,1,-1,1,1,0,-3,0,-1,1,0,2,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-79,2,5,-10,9,-9,2,5,13,-8,0,0,-4,-4,-13,11,2,2,14,-5,-4,-16,0,-2,-15,0,-13,-3,-1,1,-1,-1,0,3,0,1,0,0,0,1,0,0,3,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1
364,4,4,10,-1,1,-1,-3,-15,15,4,0,-3,3,15,3,-19,-20,-8,2,13,8,10,-1,-3,0,46,12,6,1,6,0,0,3,1,4,1,1,0,0,0,0,0,-3,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,-1
-364,-4,-4,-10,1,-1,1,3,15,-15,-4,0,3,-3,-15,-3,19,20,8,-2,-13,-8,-10,1,3,0,-46,-12,0,-1,-6,0,1,-3,0,-4,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1
-67,3,0,-4,-15,14,1,2,-4,-24,-1,0,-7,3,5,1,8,26,11,-3,3,-12,3,-3,-10,0,-11,-4,-3,-1,0,-2,-1,0,1,-1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1
67,-3,0,4,15,-14,-1,-2,4,24,1,0,7,-3,-5,-1,-8,-26,-11,3,-3,12,-3,3,10,4,11,4,3,1,0,2,1,1,0,1,0,2,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1
149,8,11,10,-4,6,3,-1,-11,7,-2,0,0,3,11,10,-12,-10,-7,-7,0,7,-1,0,12,-5,0,11,2,2,1,1,0,1,0,1,1,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
-149,-8,-11,-10,4,-6,-3,1,11,-7,2,0,0,-3,-11,-10,12,10,7,7,0,-7,1,0,-12,5,0,-11,-2,0,-1,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
-243,-1,15,-25,0,-2,-6,2,-3,-15,-4,0,-2,0,3,7,9,5,19,2,9,-2,-3,4,-5,-1,-4,-2,1,1,-6,-1,1,3,0,3,0,0,6,1,0,2,3,2,0,0,0,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,0,-1
243,1,-15,25,0,2,6,-2,3,15,4,0,2,0,-3,-7,-9,-5,-19,-2,-9,2,3,-4,5,1,4,2,-1,0,6,1,0,-3,0,-3,1,0,-6,-1,0,0,0,-2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,-1
-458,-7,-4,-18,2,-3,-6,7,6,-68,-10,0,0,0,-7,22,0,51,18,-6,-3,-8,-3,12,-13,0,-17,-2,0,0,-6,0,2,0,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
458,7,4,18,-2,3,6,-7,-6,68,10,1,0,6,7,-22,0,-51,-18,6,3,8,3,-12,13,0,17,2,9,2,6,0,-2,2,0,-1,0,0,-4,0,0,0,2,-2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1
-110,-1,11,3,-1,2,-12,7,-9,3,-5,0,0,4,9,6,-4,-4,-5,-4,4,9,1,6,7,3,-5,6,6,0,4,3,-2,0,0,1,1,0,2,0,0,0,2,-1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1
110,1,-11,-3,1,-2,12,-7,9,-3,5,0,0,-4,-9,-6,4,4,5,4,-4,-9,-1,-6,-7,0,5,-6,-6,0,-4,-3,2,1,0,-1,0,1,-2,2,0,0,0,1,0,0,0,0,0,0,0,0,-2,0,0,0,1,0,0,0,0,0,-1
-195,-18,-7,-2,14,-13,-8,2,0,-13,-4,1,-3,-2,0,1,-3,2,2,9,-5,-3,0,0,-6,2,-16,6,0,0,3,-2,-2,-5,0,-3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1
195,18,7,2,-14,13,8,-2,0,13,4,0,3,2,0,-1,3,-2,-2,-9,5,3,0,0,6,0,16,-6,0,3,-3,2,2,5,1,3,0,1,-1,0,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160,1,-12,-3,-7,7,6,3,-2,-7,1,0,4,7,2,6,-2,-2,-8,3,9,3,3,3,0,2,20,-6,0,2,3,-2,4,2,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-160,-1,12,3,7,-7,-6,-3,2,7,-1,0,-4,-7,-2,-6,2,2,8,-3,-9,-3,-3,-3,0,0,-20,6,1,-2,-3,2,0,-2,0,0,0,0,-1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-1
45,5,-3,4,-15,15,4,4,-6,-8,0,1,-3,2,6,4,0,2,-4,1,1,-7,1,-1,-6,0,6,1,-5,0,0,0,-1,0,0,-1,0,0,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-45,-5,3,-4,15,-15,-4,-4,6,8,0,0,3,-2,-6,-4,0,-2,4,-1,-1,7,-1,1,6,0,-6,-1,5,2,0,0,1,0,0,1,0,0,-1,-2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,-1
-8,-4,-6,10,-6,7,-7,4,8,11,6,1,-1,-2,-8,-17,-8,0,-3,7,-1,-3,4,-2,6,1,9,1,0,0,5,0,3,-2,0,-1,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
8,4,6,-10,6,-7,7,-4,-8,-11,-6,0,1,2,8,17,8,0,3,-7,1,3,0,2,-6,-1,-9,-1,1,2,-5,0,0,2,1,1,0,0,-2,0,0,-2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
395,12,7,11,-3,3,-5,1,-2,35,5,2,2,9,2,-18,-13,-21,-7,5,9,7,6,0,15,-2,19,11,5,0,3,0,-6,0,1,2,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1
-395,-12,-7,-11,3,-3,5,-1,2,-35,-5,0,-2,-9,-2,18,13,21,7,-5,-9,0,-6,0,-15,2,-19,-11,-5,0,-3,0,6,0,0,0,0,0,2,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
-213,-18,-5,-6,-7,6,-1,3,-5,-47,5,0,0,-4,5,7,19,35,14,4,4,1,0,-1,-17,1,2,-2,-15,0,-6,0,8,-3,1,-1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
213,18,5,6,7,-6,1,-3,5,47,-5,0,0,4,-5,-7,-19,-35,-14,-4,-4,-1,4,1,17,-1,-2,2,15,2,6,6,0,3,0,1,2,3,-3,0,0,1,0,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,-1
9,21,16,1,1,-1,10,3,-4,7,0,0,1,0,4,1,-3,-5,-3,-3,1,-9,2,-3,0,-4,29,6,-6,3,3,0,0,-1,0,2,0,0,-6,0,0,0,1,-1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,-1
-9,-21,-16,-1,-1,1,-10,-3,4,-7,0,0,-1,0,-4,-1,3,5,3,3,-1,9,0,3,0,4,-29,-6,6,0,-3,0,0,1,1,-2,2,0,6,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
105,10,-9,-3,-9,9,6,3,3,17,6,0,3,-4,-3,-14,-18,-13,-14,10,5,5,0,-4,16,5,7,17,-1,1,3,3,1,-11,0,-6,0,0,-6,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,-1
-105,-10,9,3,9,-9,-6,-3,-3,-17,-6,0,-3,4,3,14,18,13,14,-10,-5,-5,0,4,-16,-5,-7,-17,1,-1,-3,-3,-1,11,0,6,0,0,6,2,0,0,-1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,-1
-100,5,1,-12,5,-3,1,6,1,-10,0,0,-2,-2,-1,-3,5,14,3,-1,-22,2,-1,0,-3,-1,-10,-10,1,0,0,0,4,-1,0,1,0,1,-5,1,0,0,3,-1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,-1
100,-5,-1,12,-5,3,-1,-6,-1,10,7,0,2,2,1,3,-5,-14,-3,1,22,-2,1,0,3,1,10,10,-1,1,6,2,0,1,1,-1,0,0,5,0,0,0,-3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-6,-1,1,17,-17,17,-14,-3,3,-25,1,0,-1,-4,-3,7,5,16,8,1,7,-5,0,-2,-10,0,-7,-9,1,-2,6,-2,3,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
6,1,-1,-17,17,-17,14,3,-3,25,-1,1,1,4,3,-7,-5,-16,-8,-1,-7,5,6,2,10,1,7,9,0,2,-6,2,-3,-1,0,0,0,0,0,1,0,0,1,1,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
-154,-8,-7,-11,-4,4,2,-2,-4,-10,-2,1,-8,1,4,10,14,-1,14,1,0,-2,1,4,-7,4,-8,-7,-2,0,-10,0,3,1,0,4,0,0,2,3,0,4,-1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
154,8,7,11,4,-4,-2,2,4,10,2,0,8,-1,-4,-10,-14,1,-14,-1,0,2,-1,-4,7,-4,8,7,2,2,10,0,0,-1,0,-4,0,0,-2,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1
198,5,4,16,-10,10,6,-2,-5,13,6,0,7,1,4,-11,-16,-12,-10,10,2,4,5,3,15,-1,22,14,-4,0,-2,3,0,-4,1,-4,0,1,-6,-1,0,0,2,-3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1
-198,-5,-4,-16,10,-10,-6,2,5,-13,-6,0,-7,-1,-4,11,16,12,10,-10,-2,-4,-5,-3,-15,1,-22,-14,4,0,2,0,2,4,0,4,0,0,6,1,0,0,-2,3,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,-1
-134,1,10,-10,-7,9,8,3,-4,-25,0,0,0,-2,6,15,-9,19,5,-9,-2,1,2,0,0,1,-1,6,-1,1,4,3,-4,-8,0,0,0,0,2,0,0,1,0,0,0,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,-1
134,-1,-10,10,7,-9,-8,-3,4,25,0,1,0,2,-6,-15,9,-19,-5,9,2,-1,-2,0,0,-1,1,-6,1,-1,-4,0,4,8,2,2,2,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-32,-3,18,3,5,-4,-8,0,-10,6,-10,1,4,3,10,5,4,-6,-6,-5,9,0,1,10,-13,-2,-28,-3,0,2,2,0,0,3,1,3,0,2,7,1,0,1,-3,1,1,2,0,1,0,1,0,1,2,0,0,0,0,0,1,0,0,0,1
32,3,-18,-3,-5,4,8,0,10,-6,10,0,-4,-3,-10,-5,-4,6,6,5,-9,0,-1,-10,13,2,28,3,0,0,-2,3,0,-3,0,-3,0,0,-7,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-1
-12,-10,10,-6,0,2,-6,-5,2,14,1,0,2,-3,0,-19,-7,-9,4,14,-8,0,2,-6,4,2,-7,6,1,3,-7,0,1,0,0,10,1,1,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
12,10,-10,6,0,-2,6,5,-2,-14,-1,0,-2,3,0,19,7,9,-4,-14,8,0,-2,6,-4,-2,7,-6,0,0,7,0,-1,0,0,-10,0,0,-7,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1
417,5,12,17,-12,12,2,-6,-9,37,7,0,2,2,9,-25,-2,-11,-17,0,-4,5,5,-8,5,0,45,16,0,1,6,5,-3,1,0,-2,0,1,-10,0,0,2,0,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-417,-5,-12,-17,12,-12,-2,6,9,-37,-7,0,-2,-2,-9,25,2,11,17,0,4,-5,-5,8,-5,0,-45,-16,0,0,-6,0,3,-1,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,-1
168,16,10,6,-9,9,7,3,3,35,3,0,5,5,-2,1,-25,-30,-5,-6,1,8,8,-4,-2,-3,4,15,2,1,3,4,-10,2,0,1,0,0,-4,1,0,0,-1,-2,0,0,0,0,0,0,3,1,-1,0,0,0,0,0,0,0,0,0,-1
-168,-16,-10,-6,9,-9,-7,-3,-3,-35,-3,0,-5,-5,2,-1,25,30,5,6,-1,-8,0,4,2,3,-4,-15,-2,0,-3,-4,10,0,0,-1,0,0,4,-1,0,0,1,2,0,0,0,0,1,0,-3,0,1,0,0,0,0,0,0,0,0,0,-1
-353,-5,8,-2,-1,1,-3,-7,3,2,-3,0,0,-9,-3,-9,5,0,4,6,-5,-3,-6,-2,4,-1,-11,-21,-4,0,1,0,0,0,0,-1,0,0,-2,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
353,5,-8,2,1,-1,3,7,-3,-2,3,1,9,9,3,9,-5,0,-4,-6,5,3,6,2,-4,1,11,21,4,3,-1,0,2,0,1,1,3,0,2,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
83,6,6,7,-2,1,15,-4,-4,-10,-1,0,-6,1,4,3,-1,-7,-3,14,4,4,2,-1,1,0,21,0,2,-1,-4,-1,-1,1,0,-3,0,0,-3,0,0,-4,1,0,0,0,1,0,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,-1
-83,-6,-6,-7,2,-1,-15,4,4,10,1,1,6,-1,-4,-3,1,7,3,-14,-4,-4,0,1,-1,0,-21,0,-2,1,4,1,1,0,1,3,0,0,3,1,0,4,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-64,3,3,-3,-17,17,5,-2,4,-9,-3,0,3,-3,-4,13,8,2,5,-6,-6,-5,0,0,9,-6,16,3,-3,0,0,-1,5,2,0,-1,0,0,0,0,0,-1,5,-2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-1
64,-3,-3,3,17,-17,-5,2,-4,9,3,1,-3,3,4,-13,-8,-2,-5,6,6,5,0,0,-9,6,-16,-3,3,0,0,1,-5,0,0,1,0,0,0,1,0,1,-5,2,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1
